film_name,original_name,film_director,kinopoisk_rate,imdb_rate,difference
Побег из Шоушенка,The Shawshank Redemption,Фрэнк Дарабонт,9.111,9.3,-0.18900000000000006
Зеленая миля,The Green Mile,Фрэнк Дарабонт,9.062,8.6,0.46199999999999974
Форрест Гамп,Forrest Gump,Роберт Земекис,8.912,8.8,0.1120000000000001
Список Шиндлера,Schindler's List,Стивен Спилберг,8.818,8.9,-0.08200000000000074
1+1,Intouchables,Оливье Накаш,8.807,8.5,0.3070000000000004
Иван Васильевич меняет профессию,,Леонид Гайдай,8.782,8.4,0.3819999999999997
Король Лев,The Lion King,Роджер Аллерс,8.772,8.5,0.27200000000000024
Крестный отец,The Godfather,Фрэнсис Форд Коппола,8.73,9.2,-0.46999999999999886
В бой идут одни «старики»,,Леонид Быков,8.711,8.4,0.31099999999999994
Операция «Ы» и другие приключения Шурика,,Леонид Гайдай,8.711,8.6,0.11100000000000065
Леон,Léon,Люк Бессон,8.681,8.5,0.18099999999999916
Начало,Inception,Кристофер Нолан,8.662,8.8,-0.1379999999999999
Клаус,Klaus,Серхио Паблос,8.66,8.2,0.46000000000000085
Бойцовский клуб,Fight Club,Дэвид Финчер,8.644,8.8,-0.15600000000000058
Достучаться до небес,Knockin' on Heaven's Door,Томас Ян,8.629,8.0,0.6289999999999996
Назад в будущее,Back to the Future,Роберт Земекис,8.627,8.5,0.12700000000000067
Властелин колец: Возвращение Короля,The Lord of the Rings: The Return of the King,Питер Джексон,8.625,8.9,-0.27500000000000036
Жизнь прекрасна,La vita è bella,Роберто Бениньи,8.623,8.6,0.022999999999999687
Криминальное чтиво,Pulp Fiction,Квентин Тарантино,8.619,8.9,-0.2810000000000006
Тайна Коко,Coco,Ли Анкрич,8.611,8.4,0.2110000000000003
Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей,,Игорь Масленников,8.599,8.7,-0.10099999999999909
Интерстеллар,Interstellar,Кристофер Нолан,8.593,8.6,-0.006999999999999673
Гладиатор,Gladiator,Ридли Скотт,8.576,8.5,0.07600000000000051
Властелин колец: Братство кольца,The Lord of the Rings: The Fellowship of the Ring,Питер Джексон,8.571,8.8,-0.22900000000000098
Властелин колец: Две крепости,The Lord of the Rings: The Two Towers,Питер Джексон,8.567,8.7,-0.13299999999999912
Шерлок Холмс и доктор Ватсон: Знакомство,,Игорь Масленников,8.555,8.6,-0.04499999999999993
Игры разума,A Beautiful Mind,Рон Ховард,8.554,8.2,0.354000000000001
"Карты, деньги, два ствола","Lock, Stock and Two Smoking Barrels",Гай Ричи,8.547,8.2,0.3470000000000013
Крестный отец 2,The Godfather: Part II,Фрэнсис Форд Коппола,8.541,9.0,-0.45899999999999963
Пролетая над гнездом кукушки,One Flew Over the Cuckoo's Nest,Милош Форман,8.539,8.7,-0.1609999999999996
Большой куш,Snatch.,Гай Ричи,8.536,8.3,0.23599999999999888
Джентльмены удачи,,Александр Серый,8.527,8.5,0.026999999999999247
Престиж,The Prestige,Кристофер Нолан,8.523,8.5,0.022999999999999687
"Хороший, плохой, злой","Il buono, il brutto, il cattivo",Серджио Леоне,8.521,8.8,-0.2789999999999999
"Поймай меня, если сможешь",Catch Me If You Can,Стивен Спилберг,8.514,8.1,0.4139999999999997
Бриллиантовая рука,,Леонид Гайдай,8.514,8.5,0.013999999999999346
12 разгневанных мужчин,12 Angry Men,Сидни Люмет,8.51,8.9,-0.39000000000000057
Джентльмены,The Gentlemen,Гай Ричи,8.508,7.9,0.6079999999999988
...А зори здесь тихие,,Станислав Ростоцкий,8.508,8.2,0.30799999999999983
Огни большого города,City Lights,Чарльз Чаплин,8.501,8.5,0.0009999999999994458
Темный рыцарь,The Dark Knight,Кристофер Нолан,8.499,9.0,-0.5009999999999994
Остров проклятых,Shutter Island,Мартин Скорсезе,8.494,8.1,0.39400000000000013
Матрица,The Matrix,Лана Вачовски,8.49,8.7,-0.20999999999999908
Пианист,The Pianist,Роман Полански,8.461,8.5,-0.0389999999999997
В джазе только девушки,Some Like It Hot,Билли Уайлдер,8.459,8.2,0.25900000000000034
"Кавказская пленница, или Новые приключения Шурика",,Леонид Гайдай,8.456,8.4,0.05599999999999916
Отступники,The Departed,Мартин Скорсезе,8.455,8.5,-0.04499999999999993
Офицеры,,Владимир Роговой,8.453,7.7,0.7529999999999992
Запах женщины,Scent of a Woman,Мартин Брест,8.448,8.0,0.4480000000000004
Эта замечательная жизнь,It's a Wonderful Life,Фрэнк Капра,8.448,8.6,-0.15199999999999925
Пробуждение,Awakenings,Пенни Маршалл,8.437,7.8,0.6369999999999996
Унесённые призраками,Sen to Chihiro no kamikakushi,Хаяо Миядзаки,8.435,8.6,-0.16499999999999915
